href,color,color_other,mood,mood_other,edge,edge_other,style,style_other
https://morecon.jp/i/6389,골드브라운,,글로우/하이라이트,,볼드링,,하이라이트,
https://morecon.jp/i/6311,브라운,,글로우/하이라이트,,슬림링,,또렷함,
https://morecon.jp/i/4021,다크브라운,,네추럴/소프트,,노 엣지,,내추럴,
https://morecon.jp/i/3821,애쉬브라운,,네추럴/소프트,,라인 엣지,,물광,
https://morecon.jp/i/4952,골드브라운,,글로우/하이라이트,,슬림링,,내추럴,
https://morecon.jp/i/6310,다크브라운,,네추럴/소프트,,슬림링,,볼드링,
https://morecon.jp/i/6386,로즈브라운,,글로우/하이라이트,,볼드링,,,
https://morecon.jp/i/6269,골드브라운,,글로우/하이라이트,,볼드링,,,
https://morecon.jp/i/6564,브라운,,글로우/하이라이트,,노 엣지,,,
https://morecon.jp/i/3735,브라운,,네추럴/소프트,,블러 엣지,,,
https://morecon.jp/i/6416,애쉬브라운,,글로우/하이라이트,,슬림링,,,
